Czech Republic,Hana Demetz,The House on Prague Street
Czech Republic,Tomáš Zmeškal,Love Letter in Cuneiform Script
Czech Republic,Josef Škvorecký,The Engineer of Human Souls (trans. Paul Wilson)
Czech Republic,Jáchym Topol,The Devil’s Workshop
Denmark,Jakob Ejersbo,Exile: Book One of the African Trilogy
Denmark,Morten Ramsland,Dog Head
Denmark,Christian Jungersen,The Exception
Denmark,Louise Bugge Laermann,Constanze Mozart
Djibouti,Abdourahman Waberi,In the United States of Africa
Djibouti,Abdourahman Waberi,Passage of Tears
Dominica,Phyllis Shand Allfrey,The Orchid House
Dominica,Elma Napier,Black and White Sands
Dominica,Jean Rhys
Dominica,Pupils of Atkinson School,The Snake King of the Kalinago
Dominica,Alick Lazare,Pharcel
Dominica,Various authors,Home Again
Dominica,Christborne Shillingford,Most Wanted: street stories from the Caribbean
Dominican Republic,Juan Bosch
Dominican Republic,Arambilet,Neguri’s Secret
Dominican Republic,Junot Diaz,The Brief Wonderous Life of Oscar Wao
Dominican Republic,Pedro Mir,When they Loved the Communal Land
Dominican Republic,Julia Alvarez
East Timor,Luis Cardoso,The Crossing
Ecuador,Jorge Icaza,Huasipungo
Egypt,Ahdaf Soueif,The Map of Love
Egypt,Ahdaf Soueif,Cairo: My City, Our Revolution
Egypt,Sonallah Ibrahim,Stealth
Egypt,Mohamed Mansi Qandil,Moon Over Samarqand
Egypt,Waguih Ghali,Beer in the Snooker Club
Egypt,Naguib Mahfouz,Midaq Alley
Egypt,Naguib Mahfouz,The Thief and the Dogs
Egypt,Naguib Mahfouz,Miramar
Egypt,Naguib Mahfouz,The Final Hour
Egypt,Alaa Al Aswany,The Yacoubian Building
Egypt,Radwa Ashour
Egypt,Nawal El Saadawi
Egypt,May Telmissany,Dunyazad
Egypt,Salwa Bakr
Egypt,ed. Marilyn Booth,My Grandmother’s Cactus
Egypt,Gamal al-Ghitani Zayni Barakat
Egypt,Yusef Zeidan,Azazil
Egypt,Radwa Ashour,Granada
Egypt,Ibrahim Abdel Meguid,No One Sleeps in Alexandria
Egypt,Bahar Tahir
Egypt,Muhammad Bisati
El Salvador,Horacio Castellanos Moya,Senselessness
Equatorial Guinea,Juan Tomás Ávila Laurel
Equatorial Guinea,Donato Ndongo,Shadows of your Black Memory
Equatorial Guinea,Maria Nsue Angue,Ekomo
Eritrea,Senait Mehari,Heart of Fire
Eritrea,Sulaiman Addonia,The Consequences of Love
Estonia,Jaan Kross,Professor Martens’ Departure
Estonia,Jaan Kross,Treading Air
Estonia,Viivi Luik,The Beauty of History
Ethiopia,Maaza Mengiste,Beneath the Lion’s Gaze
Ethiopia,Dinaw Mengestu,Children of the Revolution
Ethiopia,Abraham Verghese,Cutting for Stone
Fiji,Peter Thomson,Kava in the Blood
Fiji,Epeli Hau’ofa,Kisses in the Nederends
Fiji,Epeli Hau’ofa,Tales of the Tikongs
Fiji,Mikaele M.K. Yasa,Of Baluka and Nibong Palm
Finland,Arto,Paasilinna,The Year of the Hare
Finland,Mika Waltari,The Egyptian
Finland,Johanna Sinisalo,Troll: A Love Story
Finland,Sofi Oksanen,Purge
France,Alain-Fournier,The Wanderer
France,Marie NDiaye,Rosie Carpe
France,Marie Darrieussecq,My Phantom Husband
France,Colette,Chéri
France,Faiza Guene,Dreams from the Endz
France,Raymond Queneau,Exercises in Style (trans. Barbara Wright)
France,Georges Perec,Life:a User’s Manual (trans. David Bellos
France,Jean-Marie Gustave Le Clezio,Wandering Star
France,Jean Echenoz,Lightning
France,Delphine de Vigan,Underground Time
France,Faïza Guène,Kiffe Kiffe Tomorrow
France,Alexis Jenni,The French Art of War
France,Laurence Cossé,A Novel Bookstore
France,Hélène Grémillon,The Confidant
France,Jérôme Ferrari,Where I Left My Soul
Gabon,Daniel Mengara,Mema
The Gambia, Dayo Forster,Reading the Ceiling
The Gambia,Dembo Fanta Bojang & Sukai Mbye Bojang,Folk Tales and Fables from The Gambia
Georgia,Sana Krasikov,One More Year
Georgia,ed Elizabeth Heighway,Contemporary Georgian Fiction
Germany,Jenny Erpenbeck,Visitation
Germany,Günter Grass The Tin Drum
Germany,Heinrich Böll,The Lost Honour of Katharina Blum
Germany,Emine Sevgi Özdamar,Bridge of the Golden Horn
Germany,Walter Benjamin,Illuminations (trans. Harry Zohn)
Germany,Clemens Meyer,All the Lights
Germany,Christa Wolf,Medea
Germany,Franz Fühmann
Germany,Inka Parei,The Shadow-Boxing Girl
Germany,Hans Fallada,Alone in Berlin
Germany,Jurek Becker,Jacob the Liar
Germany,Herman Hesse,Siddhartha
Ghana,Ayi Kwei Armah,The Beautyful Ones Are Not Yet Born
Ghana,Isaac Neequaye
Ghana,Ama Ata Aidoo
Ghana,Jo de Graft Hanson,Amanfi’s Gold
Ghana,Gheysika Adombire Agambila,Journey
Ghana,Various authors,Anansi Stories
Greece,Kostas Hatziantoniou,The Black Book of Bile
Greece,Kostas Hatziantoniou,Agrigento
Greece,Margarita Karapanou,Kassandra and the Wolf
Greece,Panos Karnezis
Greece,Nikos Kazantzakis,Freedom or Death
Greece,Nikos Kazantzakis,The Last Temptation
Grenada,Tobias Buckell
Grenada,Merle Collins,The Ladies are Upstairs
Guatemala,Miguel Angel Asturias,The President
Guatemala,Rodrigo Rey Rosa
Guinea,Camara Laye,The Radiance of the King
Guinea,Camara Laye,The Guardian of the Word
Guinea Bissau,Amilcar Cabral,Unity and Struggle
Guyana,Oonya Kempadoo,Buxton Spice
Haiti,Marvin Victor
Haiti,Lyonel Trouillot,Children of Heroes
Haiti,Dany Laferriere,How to Make Love to a Negro without Getting Tired
Haiti,Dany Laferriere,I am a Japanese Writer
Haiti,Louis-Philppe Dalembert
Haiti,Edwidge Danticat,The Farming of the Bones
Haiti,Franketienne
Haiti,Gary Klang
Haiti,Josaphat-Robert Large
Honduras,Augusto Monterroso
Honduras,Guillermo Yuscaran
Honduras,Ramón Amaya Amador
Hungary,Sándor Márai,Embers
Hungary,Dezső Kosztolányi,Skylark
Hungary,Zsigmond Móricz,Be Faithful Unto Death
Hungary,Antal Szerb,Journey by Moonlight
Hungary,Peter Esterharzy,Not Art
Hungary,Tibor Fischer,Under the Frog
Hungary,Antal Szerb,The Pendragon Legend
Hungary,László Krasznahorkai,War and War (trans. George Szirtes)
Hungary,Ferenc Karinthy,Metropole
Hungary,Imre Kertész,Fatelessness
Hungary,Albert Wass
Hungary,Rejtő Jenő
Iceland,Arnaldur Indridason,Jar City
Iceland,Halldór Laxness,The Atom Station
Iceland,Ófeigur Sigurðsson
Iceland,Gyrðir Eliasson,Stone Tree
Iceland,Auður A Ólafsdóttir,The Greenhouse
India,Suketu Mehta,Maximum City
India,Rohinton Mistry,Family Matters
India,Rohinton Mistry,A Fine Balance
India,Premchand
India,Rahul Bhattacharya,The Sly Company of People who Care
India,Amitav Ghosh,River of Smoke
India,Tabish Khair,The Thing about Thugs
India,Aman Sathi,A Free Man
India,Sunetra Gupta
India,Omair Ahmad,Jimmy the Terrorist
India,UR Ananthamurthy,Bharathipura
India,Chandrakanta,A Street in Srinagar
India,Siddharth Chowdhury,Day Scholar
India,Kishwar Desai,Witness the Night
India,Namita Devidayal,Aftertaste
India,Manu Joseph,Serious Men
India,Kavery Nambisan: The Story that Must Not Be Told
India,Kalpish Ratna,The Quarantine Papers
India,Uppamanyu Chattergee,Way to Go
India,Chandrahas Choudhury Arzee the Dwarf
India,Manju Kapur The Immigrant
India,Neel Mukherjee The Immigrant
India,Mani Sankar Mukherji The Middleman
India,I. Allan Sealy The Trotter Nama
India,Shashi Warrier
India,Aniruddha Bahal
IndiaVikram Chandra
India,M T Vasudevan Nair,Mist
India,M T Vasudevan Nair,The Legacy
India,M T Vasudevan Nair,The Demon Seed
India,M T Vasudevan Nair,Second Turn
India,Asha Poorna Devi
India,Ruskin Bond
India,Gurcharan Das,India Unbound
India,Mark Tully
India,Shashi Tharoor,The Great Indian Novel
India,Mahasweta Devi,Imaginary Maps
India,Mahasweta Devi,Bitter Soil
India,Mahasweta Devi,Hajar Churashir Maa
India,RK Narayan,Malgudi Days
India,Jhaverchand Meghani
India,Kushwant Singh,Train to Pakistan
India,Kushwant Singh,The Portrait of a Lady
India,ed Rakesh Khanna,The Blaft Anthology of Tamil Pulp Fiction
India,Shivaji Sawant,Mrityunjay
India,OV Vijayan
India,Govardhanram Tripathi,Saraswatichandra
India,Satyajit Ray,Feluda series
India,Sunil Gangopadhyay,Those Days
India,Rabindranath Tagore
India,Sashi Deshpande
India,Kiran Nagarkar,Cuckold
India,Kiran Nagarkar,Seven Sixes are Forty-Three
India,Charu Nivedita,Zero Degree
India,Tarun Tejpal,Alchemy of Desire
India,Manoshi Bhattacharya,Chittagong Summer of 1930
India,Sankar Chowringhee
Indonesia,Yusuf Bilyarta Mangunwijaya,Durga Umayi
Indonesia,Ayu Utami
Indonesia,Mochtar Lubis
Indonesia,Pramoedya Ananta Toer
Iran,Akbar Golrang,Parpin Flowers
Iran,Nasrin Alavi,We are Iran
Iran,Shahrnush Parsipur,Touba and the Meaning of Night
Iran,Mahmoud Dowlatabadi,The Colonel (trans. Tom Patterdale)
Iran,Adnan-Ahmed
Iraq,Samuel Shimon,An Iraqi in Paris
Iraq,Ali Bader,The Tobacco Keeper
Iraq,Hassan Blasim,The Madman of Freedom Square
Iraq,Rodaan Al Galidi,Thirsty River
Iraq,Samira Al-Mana
Iraq,Wafaa Abed Al Razzaq
Iraq,A Alwan,The Sheikh’s Detective
Iraq,Fuad al-Takarli,The Long Way Back
Ireland,James Joyce Ulysses
Ireland,Maria Edgeworth,Castle Rackrent
Ireland,William Trevor
Ireland,Sebastian Barry,The Secret Scripture
Ireland,Flann O’Brien,The Third Policeman
Israel,David Grossman,Falling Out of Time
Israel,David Grossman,To the End of the Land
Israel,Amos Oz,A Tale of Love and Darkness (trans. Nicholas de Lange)
Israel,Savyon Liebrecht
Israel,AB Yehoshua
Israel,Ronit Matalon
Israel,Alex Epstein
